Room, X: 21, Y: 53, Width: 20, Height: 22
Room, X: 1, Y: 20, Width: 23, Height: 18
Room, X: 50, Y: 23, Width: 25, Height: 16
Room, X: 48, Y: 14, Width: 16, Height: 24
Room, X: 14, Y: 42, Width: 16, Height: 19
Room, X: 4, Y: 12, Width: 22, Height: 25
Room, X: 14, Y: 49, Width: 18, Height: 18
Room, X: 21, Y: 31, Width: 18, Height: 16
Room, X: 49, Y: 16, Width: 25, Height: 21
Room, X: 0, Y: 47, Width: 25, Height: 22
Room, X: 8, Y: 19, Width: 16, Height: 17
Room, X: 38, Y: 53, Width: 24, Height: 25
Room, X: 36, Y: 6, Width: 23, Height: 25
Room, X: 26, Y: 44, Width: 16, Height: 17
Room, X: 1, Y: 35, Width: 18, Height: 24
Room, X: 21, Y: 15, Width: 23, Height: 17
Room, X: 45, Y: 24, Width: 20, Height: 20
Room, X: -2, Y: 51, Width: 25, Height: 16
Room, X: 21, Y: 25, Width: 17, Height: 24
Room, X: 21, Y: 49, Width: 20, Height: 19
Room, X: 50, Y: 35, Width: 19, Height: 19
Room, X: 20, Y: 16, Width: 20, Height: 25
Room, X: 47, Y: 2, Width: 20, Height: 22
Room, X: 13, Y: 42, Width: 16, Height: 18
Room, X: 36, Y: 27, Width: 16, Height: 20
Room, X: 31, Y: 58, Width: 16, Height: 18
Room, X: 2, Y: 48, Width: 18, Height: 25
Room, X: 40, Y: 51, Width: 24, Height: 23
Room, X: 22, Y: 10, Width: 25, Height: 21
Room, X: 50, Y: 17, Width: 20, Height: 17
Room, X: 4, Y: 51, Width: 21, Height: 18
Room, X: 21, Y: 54, Width: 24, Height: 19
Room, X: 48, Y: 53, Width: 17, Height: 19
Room, X: 12, Y: 14, Width: 20, Height: 16
Room, X: 41, Y: 9, Width: 19, Height: 25
Room, X: 0, Y: 20, Width: 24, Height: 24
Room, X: 38, Y: 8, Width: 20, Height: 23
Room, X: 49, Y: 35, Width: 16, Height: 25
Room, X: 56, Y: 7, Width: 22, Height: 24
Room, X: 40, Y: 54, Width: 17, Height: 25
Room, X: 2, Y: 52, Width: 19, Height: 17
Room, X: 31, Y: 22, Width: 21, Height: 24
Room, X: 22, Y: 49, Width: 22, Height: 23
Room, X: 49, Y: 16, Width: 20, Height: 23
Room, X: 52, Y: 58, Width: 24, Height: 17
Room, X: 20, Y: 43, Width: 22, Height: 20
Room, X: 53, Y: 57, Width: 20, Height: 25
Room, X: 45, Y: 4, Width: 19, Height: 19
Room, X: 23, Y: 7, Width: 18, Height: 24
Room, X: 23, Y: 42, Width: 25, Height: 23
Room, X: 20, Y: 14, Width: 21, Height: 21
Room, X: 53, Y: 21, Width: 17, Height: 24
Room, X: 60, Y: 54, Width: 18, Height: 18
