Room, X: 48, Y: 1, Width: 20, Height: 23
Room, X: 10, Y: 58, Width: 25, Height: 17
Room, X: 48, Y: 35, Width: 21, Height: 16
Room, X: 26, Y: 48, Width: 19, Height: 16
Room, X: 28, Y: 12, Width: 18, Height: 25
Room, X: 13, Y: 19, Width: 17, Height: 25
Room, X: 29, Y: 51, Width: 23, Height: 21
Room, X: 50, Y: 22, Width: 22, Height: 24
Room, X: 25, Y: 54, Width: 22, Height: 19
Room, X: 58, Y: -2, Width: 19, Height: 24
Room, X: 26, Y: 14, Width: 17, Height: 19
Room, X: 5, Y: 3, Width: 19, Height: 24
Room, X: 9, Y: 39, Width: 23, Height: 20
Room, X: 2, Y: 1, Width: 22, Height: 24
Room, X: 44, Y: 8, Width: 20, Height: 24
Room, X: 50, Y: 48, Width: 18, Height: 25
Room, X: 3, Y: 22, Width: 19, Height: 24
Room, X: 31, Y: 17, Width: 25, Height: 24
Room, X: 61, Y: 4, Width: 17, Height: 17
Room, X: 22, Y: 47, Width: 25, Height: 20
Room, X: 51, Y: 48, Width: 20, Height: 23
Room, X: 3, Y: 36, Width: 17, Height: 16
Room, X: 38, Y: 13, Width: 19, Height: 20
Room, X: 13, Y: 50, Width: 21, Height: 20
Room, X: 12, Y: 26, Width: 21, Height: 22
Room, X: 23, Y: 33, Width: 22, Height: 21
Room, X: 57, Y: 55, Width: 23, Height: 22
Room, X: 54, Y: 20, Width: 23, Height: 16
Room, X: 48, Y: 37, Width: 19, Height: 23
Room, X: 19, Y: 46, Width: 22, Height: 20
Room, X: 8, Y: 10, Width: 19, Height: 24
Room, X: 39, Y: 27, Width: 24, Height: 17
Room, X: 6, Y: 39, Width: 18, Height: 23
Room, X: 36, Y: 61, Width: 25, Height: 17
Room, X: 29, Y: 25, Width: 17, Height: 16
Room, X: 48, Y: 32, Width: 24, Height: 22
Room, X: 26, Y: 14, Width: 19, Height: 20
Room, X: -2, Y: 59, Width: 25, Height: 17
Room, X: 11, Y: 39, Width: 20, Height: 18
Room, X: 50, Y: 52, Width: 25, Height: 18
Room, X: 51, Y: 48, Width: 18, Height: 24
Room, X: 29, Y: 19, Width: 17, Height: 19
Room, X: 18, Y: 52, Width: 21, Height: 22
Room, X: 58, Y: 0, Width: 20, Height: 24
Room, X: 61, Y: 26, Width: 16, Height: 16
Room, X: -1, Y: 5, Width: 22, Height: 24
Room, X: 33, Y: 50, Width: 18, Height: 21
Room, X: 35, Y: 14, Width: 24, Height: 18
Room, X: 55, Y: 57, Width: 16, Height: 18
Room, X: 38, Y: 55, Width: 19, Height: 22
Room, X: 13, Y: 21, Width: 20, Height: 17
Room, X: 59, Y: 14, Width: 19, Height: 17
Room, X: 37, Y: 51, Width: 22, Height: 25
Room, X: 13, Y: 14, Width: 23, Height: 18
Room, X: 57, Y: 8, Width: 19, Height: 17
Room, X: 14, Y: 43, Width: 18, Height: 25
Room, X: 54, Y: 12, Width: 19, Height: 18
Room, X: 12, Y: 13, Width: 24, Height: 18
Room, X: 22, Y: 36, Width: 16, Height: 18
Room, X: 24, Y: 18, Width: 19, Height: 19
Room, X: 45, Y: 34, Width: 22, Height: 16
Room, X: 53, Y: 11, Width: 24, Height: 18
Room, X: 45, Y: 48, Width: 20, Height: 17
Room, X: 15, Y: 11, Width: 22, Height: 22
Room, X: 58, Y: 21, Width: 16, Height: 22
Room, X: 43, Y: 50, Width: 25, Height: 24
Room, X: 1, Y: 7, Width: 19, Height: 19
Room, X: 15, Y: 38, Width: 16, Height: 20
Room, X: 44, Y: -2, Width: 18, Height: 25
Room, X: 14, Y: 30, Width: 24, Height: 22
